Weight,Source,Target
265,"Mozart,  Wolfgang  Amadeus","Beethoven,  Ludwig  van"
239,"Wagner,  Richard","Beethoven,  Ludwig  van"
203,"Tchaikovsky,  Pyotr  Ilyich","Beethoven,  Ludwig  van"
173,"Strauss,  Richard","Beethoven,  Ludwig  van"
158,"Bach,  Johann  Sebastian","Beethoven,  Ludwig  van"
150,"Liszt,  Franz","Beethoven,  Ludwig  van"
136,"Brahms,  Johannes","Wagner,  Richard"
136,"Schumann,  Robert","Beethoven,  Ludwig  van"
135,"Liszt,  Franz","Wagner,  Richard"
135,"Brahms,  Johannes","Beethoven,  Ludwig  van"
129,"Mozart,  Wolfgang  Amadeus","Tchaikovsky,  Pyotr  Ilyich"
127,"Strauss,  Richard","Wagner,  Richard"
123,"Tchaikovsky,  Pyotr  Ilyich","Wagner,  Richard"
116,"Mozart,  Wolfgang  Amadeus","Wagner,  Richard"
115,"Beethoven,  Ludwig  van","Wagner,  Richard"
113,"Bach,  Johann  Sebastian","Brahms,  Johannes"
112,"Mendelssohn,  Felix","Beethoven,  Ludwig  van"
110,"Bach,  Johann  Sebastian","Mozart,  Wolfgang  Amadeus"
109,"Strauss,  Richard","Mozart,  Wolfgang  Amadeus"
106,"Berlioz,  Hector","Beethoven,  Ludwig  van"
101,"Mozart,  Wolfgang  Amadeus","Ravel,  Maurice"
99,"Ravel,  Maurice","Beethoven,  Ludwig  van"
97,"Haydn,  Franz  Joseph","Beethoven,  Ludwig  van"
96,"Mozart,  Wolfgang  Amadeus","Mendelssohn,  Felix"
95,"Mozart,  Wolfgang  Amadeus","Haydn,  Franz  Joseph"
94,"Brahms,  Johannes","Mozart,  Wolfgang  Amadeus"
92,"Dvorak,  Antonín","Wagner,  Richard"
91,"Prokofiev,  Sergei","Tchaikovsky,  Pyotr  Ilyich"
90,"Bach,  Johann  Sebastian","Wagner,  Richard"
89,"Anthem,","Beethoven,  Ludwig  van"
89,"Weber,  Carl  Maria Von","Beethoven,  Ludwig  van"
87,"Stravinsky,  Igor","Mozart,  Wolfgang  Amadeus"
87,"Tchaikovsky,  Pyotr  Ilyich","Mendelssohn,  Felix"
87,"Strauss,  Richard","Brahms,  Johannes"
85,"Weber,  Carl  Maria Von","Wagner,  Richard"
84,"Tchaikovsky,  Pyotr  Ilyich","Saint-Saens [Saint-Saëns],  Camille"
84,"Schubert,  Franz","Wagner,  Richard"
83,"Weber,  Carl  Maria Von","Mendelssohn,  Felix"
81,"Dvorak,  Antonín","Brahms,  Johannes"
81,"Liszt,  Franz","Dvorak,  Antonín"
80,"Bach,  Johann  Sebastian","Tchaikovsky,  Pyotr  Ilyich"
