composerName,workTitle,composer_work,dateCount
"Adams,  John",ABSOLUTE JEST,"Adams,  John_ABSOLUTE JEST",6
"Adams,  John","CHAIRMAN DANCES, FOXTROT FOR ORCHESTRA","Adams,  John_CHAIRMAN DANCES, FOXTROT FOR ORCHESTRA",12
"Adams,  John",HARMONIELEHRE,"Adams,  John_HARMONIELEHRE",14
"Adams,  John",SHORT RIDE IN A FAST MACHINE,"Adams,  John_SHORT RIDE IN A FAST MACHINE",11
"Adams,  John",TROMBA LONTANA,"Adams,  John_TROMBA LONTANA",5
"Adams,  John","WOUND DRESSER, THE","Adams,  John_WOUND DRESSER, THE",12
"Albeniz [Albéniz],  Isaac",IBERIA: EXCERPTS FOR ORCHESTRA (ARR. Arbos),"Albeniz [Albéniz],  Isaac_IBERIA: EXCERPTS FOR ORCHESTRA (ARR. Arbos)",33
"Anderson,  Leroy",FIDDLE FADDLE,"Anderson,  Leroy_FIDDLE FADDLE",8
"Anthem,",BRAZIL,"Anthem,_BRAZIL",9
"Anthem,",FRANCE,"Anthem,_FRANCE",6
"Anthem,",JAPAN,"Anthem,_JAPAN",5
"Anthem,","KOREA, REPUBLIC OF","Anthem,_KOREA, REPUBLIC OF",6
"Anthem,",POLAND,"Anthem,_POLAND",5
"Anthem,","TAIWAN, REPUBLIC OF CHINA","Anthem,_TAIWAN, REPUBLIC OF CHINA",7
"Anthem,",UNION OF SOVIET SOCIALIST REPUBLICS,"Anthem,_UNION OF SOVIET SOCIALIST REPUBLICS",17
"Anthem,",UNITED KINGDOM (GOD SAVE THE QUEEN),"Anthem,_UNITED KINGDOM (GOD SAVE THE QUEEN)",5
"Anthem,",UNITED STATES,"Anthem,_UNITED STATES",314
"Arutunian,  Alexander",CONCERTO FOR TRUMPET AND ORCHESTRA,"Arutunian,  Alexander_CONCERTO FOR TRUMPET AND ORCHESTRA",6
"Austin,  Larry",IMPROVISATIONS FOR ORCHESTRA AND JAZZ SOLOISTS,"Austin,  Larry_IMPROVISATIONS FOR ORCHESTRA AND JAZZ SOLOISTS",5
"Bach,  Carl  Philipp Emanuel","CONCERTO, FLUTE, D MINOR","Bach,  Carl  Philipp Emanuel_CONCERTO, FLUTE, D MINOR",5
"Bach,  Johann  Christian","LUCIO SILLA: OVERTURE (SIN. B-FLAT, OP. 18, NO. 2) (ARR. Stein)","Bach,  Johann  Christian_LUCIO SILLA: OVERTURE (SIN. B-FLAT, OP. 18, NO. 2) (ARR. Stein)",6
"Bach,  Johann  Sebastian",AVE MARIA (ORCH. WITH VIOLIN OR VOICE) (ARR. Gounod),"Bach,  Johann  Sebastian_AVE MARIA (ORCH. WITH VIOLIN OR VOICE) (ARR. Gounod)",6
"Bach,  Johann  Sebastian","BRANDENBURG CONCERTO NO. 1, F MAJOR, BWV 1046","Bach,  Johann  Sebastian_BRANDENBURG CONCERTO NO. 1, F MAJOR, BWV 1046",21
"Bach,  Johann  Sebastian","BRANDENBURG CONCERTO NO. 2 IN F MAJOR, BWV 1047","Bach,  Johann  Sebastian_BRANDENBURG CONCERTO NO. 2 IN F MAJOR, BWV 1047",19
"Bach,  Johann  Sebastian","BRANDENBURG CONCERTO NO. 3 IN G MAJOR, BWV 1048","Bach,  Johann  Sebastian_BRANDENBURG CONCERTO NO. 3 IN G MAJOR, BWV 1048",77
"Bach,  Johann  Sebastian","BRANDENBURG CONCERTO NO. 4 IN G MAJOR, BWV 1049","Bach,  Johann  Sebastian_BRANDENBURG CONCERTO NO. 4 IN G MAJOR, BWV 1049",18
