composerName,workTitle,quantile,dateCount
"Abert,  Johann  Joseph",CHORALE,3,1
"Abing,","MOON'S REFLECTION ON THE SECOND SPRING, THE",3,2
"Abt,  Franz",DIE STILLE WASSERROSE,3,1
"Abt,  Franz",ICH DENKE NUR AN DICH (I EVER THINK OF THEE),3,1
"Abt,  Franz","POLISH MOTHER'S CRADLE SONG, THE",3,1
"Achron,  Isidor","CONCERTO, PIANO, B FLAT MAJOR",3,2
"ACT,",.,3,2
"Adair,  Dorothy  W.","CHRISTMAS WREATH, A (ARR. Cacciola)",3,1
"Adam,  Adolphe  Charles","VARIATIONS ON ""AH VOUS DIRAIS-JE, MAMAN"" (ARR. Westphal)",3,2
"Adams,  John",ABSOLUTE JEST,2,6
"Adams,  John","CHAIRMAN DANCES, FOXTROT FOR ORCHESTRA",2,12
"Adams,  John",CHAMBER SYMPHONY,3,3
"Adams,  John",EASTER EVE 1945,3,3
"Adams,  John",GRAND PIANOLA MUSIC,3,1
"Adams,  John",HARMONIELEHRE,2,14
"Adams,  John",HARMONIUM,3,3
"Adams,  John",NAIVE AND SENTIMENTAL MUSIC,3,4
"Adams,  John",ON THE TRANSMIGRATION OF SOULS,3,4
"Adams,  John",SCHEHERAZADE.2 - DRAMATIC SYMPHONY FOR VIOLIN AND ORCHESTRA,3,3
"Adams,  John",SHORT RIDE IN A FAST MACHINE,2,11
"Adams,  John",SLONIMSKY'S EARBOX,3,4
"Adams,  John",TROMBA LONTANA,2,5
"Adams,  John",VIOLIN CONCERTO,3,4
"Adams,  John","WOUND DRESSER, THE",2,12
"Adams,  John  Luther",DARK WAVES,3,3
"Ades [Adès],  Thomas",AMERICA (PROPHECY),3,4
"Ades [Adès],  Thomas",CHAMBER SYMPHONY,3,2
"Ades [Adès],  Thomas",IN SEVEN DAYS,3,3
"Ades [Adès],  Thomas",POLARIS,3,1
"Ades [Adès],  Thomas",THREE STUDIES FROM COUPERIN,3,3
"Ades [Adès],  Thomas",TOTENTANZ,3,3
"Adolphe,  Julia","DARK SAND, SIFTING LIGHT",3,1
"Adolphe,  Julia","UNEARTH, RELEASE [VIOLA CONCERTO]",3,3
"Adolphe,  Julia",WHITE STONE,3,1
"Aho,  Kalevi",CHAMBER SYMPHONY NO. 2,3,1
"Akiho,  Andy",OSCILLATE,3,2
"Akiho,  Andy",RICOCHET CONCERTO,3,1
"Alard,  Jean  Delphin","SOUVENIRS DE MOZART, FANTASIE FOR VIOLIN",3,1
"Albeniz [Albéniz],  Isaac",IBERIA: EXCERPTS FOR ORCHESTRA (ARR. Arbos),2,33
"Albeniz [Albéniz],  Isaac",IBERIA: FETE-DIEU A SEVILLE (ARR. Stokowski),3,3
"Albeniz [Albéniz],  Isaac",LEYENDA,3,2
"Albeniz [Albéniz],  Isaac",NAVARRA (ORCH) (ARR. Arbos),3,2
"Albeniz [Albéniz],  Isaac",RAPSODIA ESPANOLA (ARR. Casella),3,2
"Albeniz [Albéniz],  Isaac",SUITE ESPANOLA (ARR. Fruhbeck de Burgos),3,4
"Albert,  Stephen",SYMPHONY NO. 2 (ARR. Currier),3,3
"Albinoni,  Tomaso","SONATA, SAN MARCO (ARR. Hickman)",3,1
"Alcock,  Gilbert",VOIX CELESTES,3,1
"Alexander,  Josef",EPITAPHS FOR ORCHESTRA,3,2
"Alexander,  Lucas",CIRCLE OF TIME,3,1
"Alfven [Alfvén],  Hugo","SWEDISH RHAPSODY OP. 19, NO. 1: MIDSUMMER VIGIL",3,4
"Alnaes,  Eyvind",SOLFAGER AND THE KING OF SERPENTS,3,1
"Altman,  Arthur",ALL OR NOTHING AT ALL (ARR. Costa),3,1
"Alvarez,",IL PAPAGELLO,3,2
"Alvars,  Paris","PARROT, THE",3,1
"Ambrose,  Paul",STAY HOME MY HEART,3,1
"Amiran,  Emanuel",TO THE SPRING,3,4
